"","Temperature..K.","Luminosity.L.Lo.","Radius.R.Ro.","Absolute.magnitude.Mv.","Star.type","Star.color","Spectral.Class"
"3",2600,2.59000259024652e-10,0.102,18.7,"Brown Dwarf","Red","M"
"4",2800,1.41272868558901e-10,0.16,16.65,"Brown Dwarf","Red","M"
"5",1939,6.82818864701355e-11,0.103,20.06,"Brown Dwarf","Red","M"
"7",2637,7.65228038027381e-10,0.127,17.22,"Brown Dwarf","Red","M"
"8",2600,3.76727649490403e-10,0.096,17.4,"Brown Dwarf","Red","M"
"9",2650,7.18137081841081e-10,0.11,17.45,"Brown Dwarf","Red","M"
"10",2700,1.17727390465751e-10,0.13,16.05,"Brown Dwarf","Red","M"
"13",3134,3.76727649490403e-10,0.196,13.21,"Red Dwarf ","Red","M"
"14",3628,6.3808245632437e-09,0.393,10.48,"Red Dwarf ","Red","M"
"15",2650,6.12182430421905e-10,0.14,11.782,"Red Dwarf ","Red","M"
"16",3340,4.37945892532594e-09,0.24,13.07,"Red Dwarf ","Red","M"
"17",2799,2.02491111601092e-09,0.16,14.79,"Red Dwarf ","Red","M"
"19",3192,4.16754962248758e-09,0.1967,13.53,"Red Dwarf ","Red","M"
"20",3441,4.58195003692703e-08,0.351,11.18,"Red Dwarf ","Red","M"
"21",25000,6.58331567484479e-08,0.0084,10.58,"White Dwarf","Blue_White","B"
"24",8500,4.94455039956154e-10,0.01,14.5,"White Dwarf","White","A"
"27",8570,8.59409950399982e-10,0.0097,14.2,"White Dwarf","Blue_White","A"
"28",7700,3.53182171397253e-11,0.0128,14.47,"White Dwarf","yellow_white","F"
"29",11790,8.24091733260257e-11,0.011,12.59,"White Dwarf","yellow_white","F"
"30",7230,0,0.013,14.08,"White Dwarf","Pale yellow orange","F"
"32",30000,0.0339525793161407,6.3,-4.2,"Main Sequence","Blue_White","B"
"33",15276,0.00133738306150902,7.2,-1.97,"Main Sequence","Blue_White","B"
"34",9700,8.71181747627434e-05,2.89,0.16,"Main Sequence","White","B"
"35",5800,9.5349768086021e-07,0.9,5.05,"Main Sequence","yellow_white","F"
"36",8052,1.0242188788608e-05,1.8,2.42,"Main Sequence","White","A"
"37",6757,1.68340750174787e-06,1.12,2.41,"Main Sequence","yellow_white","F"
"38",6380,1.58922558937527e-06,0.98,2.93,"Main Sequence","yellow_white","F"
"40",5587,9.64093146002128e-07,0.99,5.03,"Main Sequence","yellow_white","F"
"41",3826,0.23545478083732,19,-6.93,"Supergiant","Red","M"
